hash,msg,author,committer,author_date,author_timezone,committer_date,committer_zone,branches,in_main_branch,merge,modified_files,parents,project_name,project_path,deletions,insertions,lines,files,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,main_file_type,main_change_type
72ba0b5efee8d771165c204e0dea309401dc80d1,TextCNN Model/Train/Inference,GongChen,GongChen,2022-05-03 22:25:52+08:00,-28800,2022-05-03 22:26:01+08:00,-28800,{'main'},True,,13,1,knlp,/private/var/folders/63/bc7xsv3d2dqcxvjfshvny69r0000gn/T/tmph5mntql4/knlp,0,26063,26063,13,0.45931758530183725,0.5826771653543307,0.3464566929133858,.py,ADD
fe949d3b7bea25ef26a5cc4325be128e5191984f,TextCNN 代码注释修改,GongChen,GongChen,2022-05-04 15:13:34+08:00,-28800,2022-05-04 15:13:34+08:00,-28800,{'main'},True,,6,1,knlp,/private/var/folders/63/bc7xsv3d2dqcxvjfshvny69r0000gn/T/tmph5mntql4/knlp,22,25,47,6,0.0,0.0,0.0,.py,MODIFY
dba714a6a3926336044943574e5fcda109974629,annotation and amend,Liu_FQ,Liu_FQ,2022-05-06 01:50:42+08:00,-28800,2022-05-06 01:50:42+08:00,-28800,{'main'},True,,4,1,knlp,/private/var/folders/63/bc7xsv3d2dqcxvjfshvny69r0000gn/T/tmph5mntql4/knlp,141,170,311,4,0.0,1.0,0.0,.py,MODIFY
b19d8e0d0661b697ff4a73201c30b5a6e8969b6e,add test_pinyin_inference and pinyin_train to knlp,Rooki1e,Rooki1e,2022-05-18 14:01:28+08:00,-28800,2022-05-18 14:01:28+08:00,-28800,{'main'},True,,2,1,knlp,/private/var/folders/63/bc7xsv3d2dqcxvjfshvny69r0000gn/T/tmph5mntql4/knlp,0,251,251,2,0.6293706293706294,0.5034965034965035,0.7692307692307693,.py,ADD
150c479aec5f7bccae36f699ef5afa88e289fcd0,TextCNN/TextRNN/TextRCNN,GongChen,GongChen,2022-06-11 18:41:31+08:00,-28800,2022-06-11 19:19:11+08:00,-28800,{'main'},True,,13,1,knlp,/private/var/folders/63/bc7xsv3d2dqcxvjfshvny69r0000gn/T/tmph5mntql4/knlp,12,586,598,13,0.21686746987951808,0.9759036144578314,0.1746987951807229,.py,ADD
767808e5c0b0476062ac0012aa4ee10371d7a796,seed定义为常量,GongChen,GongChen,2022-09-03 17:55:15+08:00,-28800,2022-09-03 17:55:15+08:00,-28800,{'main'},True,,6,1,knlp,/private/var/folders/63/bc7xsv3d2dqcxvjfshvny69r0000gn/T/tmph5mntql4/knlp,15,12,27,6,1.0,0.25,1.0,.py,MODIFY
982c66a1ec2c415b5ff52b0d8f50fc4f6af77946,crf pipeline version_1,ericmac,ericmac,2022-11-11 23:42:06+08:00,-28800,2022-11-11 23:42:06+08:00,-28800,{'main'},True,,149,1,knlp,/private/var/folders/63/bc7xsv3d2dqcxvjfshvny69r0000gn/T/tmph5mntql4/knlp,2,37059,37061,149,0.3191059647233069,0.47017638346573315,0.46694493065840853,.py,ADD
5267f25c2a7faae4686b47a49570bfc95f9f41fb,ver1.1,ericmac,ericmac,2022-11-19 14:04:41+08:00,-28800,2022-11-19 14:04:41+08:00,-28800,{'main'},True,,173,1,knlp,/private/var/folders/63/bc7xsv3d2dqcxvjfshvny69r0000gn/T/tmph5mntql4/knlp,119,5792,5911,173,0.9130434782608695,0.41304347826086957,0.0,.png,ADD
4884f7df62ec8ce62adba2f4c5a94fe854b3d4cc,fix on post-process,ericmac,ericmac,2022-11-24 18:12:06+08:00,-28800,2022-11-24 18:12:06+08:00,-28800,{'main'},True,,4,1,knlp,/private/var/folders/63/bc7xsv3d2dqcxvjfshvny69r0000gn/T/tmph5mntql4/knlp,81,150,231,6,0.0,0.0,0.0,.py,MODIFY
6cf5acea3e0bbf739dd4609dd80e7cf1725080ce,fix,ERICMIAO0817,ERICMIAO0817,2022-12-17 15:08:47+08:00,-28800,2022-12-17 15:08:47+08:00,-28800,{'main'},True,,13,1,knlp,/private/var/folders/63/bc7xsv3d2dqcxvjfshvny69r0000gn/T/tmph5mntql4/knlp,146,269,415,14,0.0,0.0,0.0,.py,MODIFY
fed8d35bc0f9589211830b67f6fd22140c86535f,fix,ERICMIAO0817,ERICMIAO0817,2022-12-24 15:04:44+08:00,-28800,2022-12-24 15:04:44+08:00,-28800,{'main'},True,,10,1,knlp,/private/var/folders/63/bc7xsv3d2dqcxvjfshvny69r0000gn/T/tmph5mntql4/knlp,97,57,154,10,1.0,0.42857142857142855,0.0,.py,MODIFY
317dcf827a9d7884f7b6453cf192500a1595fb08,fix,ERICMIAO0817,ERICMIAO0817,2022-12-24 17:06:19+08:00,-28800,2022-12-24 17:06:19+08:00,-28800,{'main'},True,,8,1,knlp,/private/var/folders/63/bc7xsv3d2dqcxvjfshvny69r0000gn/T/tmph5mntql4/knlp,21388,21284,42672,8,1.0,1.0,0.8,.py,MODIFY
2126497574278fb8393c9a964101f7b6396b4202,NER pipeline,ERICMIAO0817,ERICMIAO0817,2023-01-07 19:53:46+08:00,-28800,2023-01-07 19:53:46+08:00,-28800,{'main'},True,,5,1,knlp,/private/var/folders/63/bc7xsv3d2dqcxvjfshvny69r0000gn/T/tmph5mntql4/knlp,17,41,58,5,0.0,1.0,0.25,.py,MODIFY
a85194f6dcbeb24dd7f8d681711c34c8b8ed5549,NER pipeline,ERICMIAO0817,ERICMIAO0817,2023-01-07 19:54:32+08:00,-28800,2023-01-07 19:54:32+08:00,-28800,{'main'},True,,3,1,knlp,/private/var/folders/63/bc7xsv3d2dqcxvjfshvny69r0000gn/T/tmph5mntql4/knlp,0,42,42,3,1.0,1.0,1.0,.py,ADD
8ea709c7932301ddc730d03eaf53d0a4ec04d82e,NER pipeline,ERICMIAO0817,ERICMIAO0817,2023-01-12 16:14:25+08:00,-28800,2023-01-12 16:14:25+08:00,-28800,{'main'},True,,11,1,knlp,/private/var/folders/63/bc7xsv3d2dqcxvjfshvny69r0000gn/T/tmph5mntql4/knlp,130,75,205,12,0.37735849056603776,0.0,0.20754716981132076,.py,MODIFY
32bc82fe485fe7042f1a359ea1b7a8cabc180174,NER pipeline,ERICMIAO0817,ERICMIAO0817,2023-01-13 00:11:45+08:00,-28800,2023-01-13 00:11:45+08:00,-28800,{'main'},True,,3,1,knlp,/private/var/folders/63/bc7xsv3d2dqcxvjfshvny69r0000gn/T/tmph5mntql4/knlp,24,22,46,4,1.0,1.0,1.0,.py,ADD
2dedd31838c5b03ca6698d6863ea30e7ef9c7dd7,NER pipeline,ERICMIAO0817,ERICMIAO0817,2023-01-14 11:59:55+08:00,-28800,2023-01-14 11:59:55+08:00,-28800,{'main'},True,,4,1,knlp,/private/var/folders/63/bc7xsv3d2dqcxvjfshvny69r0000gn/T/tmph5mntql4/knlp,10,21,31,4,0.0,1.0,0.0,.py,MODIFY
5023683e7babd737703955ba0e3ab160bd7732e9,NER pipeline,ERICMIAO0817,ERICMIAO0817,2023-01-17 21:00:43+08:00,-28800,2023-01-17 21:00:43+08:00,-28800,{'main'},True,,2,1,knlp,/private/var/folders/63/bc7xsv3d2dqcxvjfshvny69r0000gn/T/tmph5mntql4/knlp,4,2,6,2,1.0,1.0,1.0,.py,MODIFY
